Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Oct 2020;Searches: Nov 2020;Searches: Dec 2020;Searches: Jan 2021;Searches: Feb 2021;Searches: Mar 2021;Searches: Apr 2021;Searches: May 2021;Searches: Jun 2021;Searches: Jul 2021;Searches: Aug 2021;Searches: Sep 2021
meu cacho minha vida lola preço;BRL;30;0%;-78%;Alto;100;0,29;0,8;;;;;;70;70;30;50;20;30;30;10;20;20;20;20
lola cosmetics cachos;BRL;2900;0%;53%;Alto;100;0,26;1,12;;;;;;2400;2900;2400;2400;2400;3600;3600;2900;2900;2900;2400;2900
antifrizz lola liso;BRL;30;-20%;100%;Alto;100;0,53;1,21;;;;;;20;30;30;20;10;20;50;20;40;50;20;40
kit meu cacho minha vida lola cosmetics completo;BRL;20;-67%;-67%;Alto;100;0,37;0,85;;;;;;20;40;10;20;20;30;20;30;30;30;30;10
condicionador danos vorazes;BRL;50;100%;∞;Alto;100;0,38;1,48;;;;;;0;0;0;0;20;70;70;50;50;70;140;140
lola liso spray;BRL;170;27%;0%;Alto;100;0,44;1,21;;;;;;140;110;110;140;170;260;260;170;210;110;140;140
lola cosmetics cachos kit;BRL;40;-29%;∞;Alto;100;0,35;1,51;;;;;;0;0;0;0;40;70;70;70;50;70;40;50
mascara lola meu cacho minha vida;BRL;50;-43%;-20%;Alto;100;0,39;1,13;;;;;;40;90;40;40;50;70;90;50;50;70;40;40
liso leve and solto spray;BRL;320;0%;-19%;Alto;100;0,35;1,12;;;;;;260;260;210;210;320;390;480;320;260;260;210;260
lola danos vorazes;BRL;480;0%;∞;Alto;100;0,34;1,04;;;;;;0;0;1000;1300;720;480;390;480;480;480;590;480
meus cachos minha vida;BRL;170;0%;21%;Alto;100;0,31;1,02;;;;;;170;170;110;140;140;170;170;170;170;170;140;170
creme de pentear meu cacho minha vida;BRL;170;0%;-18%;Alto;100;0,38;1,36;;;;;;140;260;170;170;110;140;170;170;170;140;140;140
meus cachos lola;BRL;30;0%;50%;Alto;100;0,26;0,67;;;;;;20;20;20;20;20;20;30;30;30;30;20;30
linha meu cacho minha vida lola;BRL;50;-29%;-44%;Alto;100;0,28;0,65;;;;;;40;50;50;40;40;70;50;70;50;70;70;50
lola cosmetics para cachos;BRL;30;0%;0%;Alto;100;0,41;0,88;;;;;;40;30;30;30;10;40;50;50;30;40;20;40
kit meu cacho minha vida lola;BRL;40;-80%;0%;Alto;100;0,32;1,5;;;;;;20;30;30;40;20;90;90;40;70;50;30;10
creme lola meu cacho minha vida;BRL;70;0%;75%;Alto;100;0,41;0,98;;;;;;70;70;70;50;40;70;70;90;50;70;50;70
lola creme de pentear meu cacho minha vida;BRL;20;-67%;-50%;Alto;100;0,35;0,78;;;;;;30;30;20;30;10;40;10;10;10;30;20;10
